"theta1","theta2","theta3","theta4","theta5"
9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,0.999996000012
0.04999985000045,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,0.94999715000855
0.0999997000009,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,0.8999973000081
0.14999955000135,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,0.84999745000765
0.1999994000018,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,0.7999976000072
0.24999925000225,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,0.74999775000675
0.2999991000027,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,0.6999979000063
0.34999895000315,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,0.64999805000585
0.3999988000036,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,0.5999982000054
0.44999865000405,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,0.54999835000495
0.4999985000045,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,0.4999985000045
0.54999835000495,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,0.44999865000405
0.5999982000054,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,0.3999988000036
0.64999805000585,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,0.34999895000315
0.6999979000063,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,0.2999991000027
0.74999775000675,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,0.24999925000225
0.7999976000072,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,0.1999994000018
0.84999745000765,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,0.14999955000135
0.8999973000081,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,0.0999997000009
0.94999715000855,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,0.0499998500004499
0.999996000012,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07,9.99997000009e-07
9.99997000009e-07,0.04999985000045,9.99997000009e-07,9.99997000009e-07,0.94999715000855
0.0499999000002,0.0499999000002,9.99998000004e-07,9.99998000004e-07,0.8999982000036
0.0999998000004,0.0499999000002,9.99998000004e-07,9.99998000004e-07,0.8499983000034
0.1499997000006,0.0499999000002,9.99998000004e-07,9.99998000004e-07,0.7999984000032
0.1999996000008,0.0499999000002,9.99998000004e-07,9.99998000004e-07,0.749998500003
0.249999500001,0.0499999000002,9.99998000004e-07,9.99998000004e-07,0.6999986000028
0.2999994000012,0.0499999000002,9.99998000004e-07,9.99998000004e-07,0.6499987000026
0.3499993000014,0.0499999000002,9.99998000004e-07,9.99998000004e-07,0.5999988000024
0.3999992000016,0.0499999000002,9.99998000004e-07,9.99998000004e-07,0.5499989000022
