"V1","V2","V3","V4","V5"
0.2,0.2,0.2,0.2,0.2
0.940516484819373,0.0148708787951567,0.0148708787951567,0.0148708787951567,0.0148708787951567
0.957172462641292,0.010706884339677,0.010706884339677,0.010706884339677,0.010706884339677
0.964737402216136,0.00881564944596599,0.00881564944596599,0.00881564944596599,0.00881564944596599
0.969301796172159,0.00767455095696034,0.00767455095696034,0.00767455095696034,0.00767455095696034
0.972439945019722,0.00689001374506951,0.00689001374506951,0.00689001374506951,0.00689001374506951
0.974768293240421,0.00630792668989474,0.00630792668989474,0.00630792668989474,0.00630792668989474
0.976584656961719,0.00585383575957011,0.00585383575957011,0.00585383575957011,0.00585383575957011
0.978052956058362,0.00548676098540942,0.00548676098540942,0.00548676098540942,0.00548676098540942
0.979271879930843,0.00518203001728914,0.00518203001728914,0.00518203001728914,0.00518203001728914
0.980304885716483,0.00492377857087923,0.00492377857087923,0.00492377857087923,0.00492377857087923
0.981194887084629,0.0047012782288428,0.0047012782288428,0.0047012782288428,0.0047012782288428
0.981972088063374,0.00450697798415655,0.00450697798415655,0.00450697798415655,0.00450697798415655
0.982658448787627,0.00433538780309329,0.00433538780309329,0.00433538780309329,0.00433538780309329
0.983270371247794,0.00418240718805153,0.00418240718805153,0.00418240718805153,0.00418240718805153
0.983820387237541,0.00404490319061466,0.00404490319061466,0.00404490319061466,0.00404490319061466
0.984318259064631,0.00392043523384235,0.00392043523384235,0.00392043523384235,0.00392043523384235
0.984771720203117,0.00380706994922062,0.00380706994922062,0.00380706994922062,0.00380706994922062
0.985186987321612,0.00370325316959708,0.00370325316959708,0.00370325316959708,0.00370325316959708
0.985569122688886,0.00360771932777854,0.00360771932777854,0.00360771932777854,0.00360771932777854
0.985922296039861,0.00351942599003464,0.00351942599003464,0.00351942599003464,0.00351942599003464
0.986249977293619,0.00343750567659525,0.00343750567659525,0.00343750567659525,0.00343750567659525
0.98655508072091,0.00336122981977252,0.00336122981977252,0.00336122981977252,0.00336122981977252
0.986840074387557,0.00328998140311083,0.00328998140311083,0.00328998140311083,0.00328998140311083
0.987107064346348,0.00322323391341296,0.00322323391341296,0.00322323391341296,0.00322323391341296
0.987357860187739,0.00316053495306527,0.00316053495306527,0.00316053495306527,0.00316053495306527
0.987594026639815,0.00310149334004634,0.00310149334004634,0.00310149334004634,0.00310149334004634
0.987816924596641,0.00304576885083964,0.00304576885083964,0.00304576885083964,0.00304576885083964
0.988027744043424,0.002993063989144,0.002993063989144,0.002993063989144,0.002993063989144
0.988227530704775,0.00294311732380631,0.00294311732380631,0.00294311732380631,0.00294311732380631
0.988417207783271,0.00289569805418238,0.00289569805418238,0.00289569805418238,0.00289569805418238
0.988597593822943,0.00285060154426429,0.00285060154426429,0.00285060154426429,0.00285060154426429
0.988769417488618,0.00280764562784552,0.00280764562784552,0.00280764562784552,0.00280764562784552
0.98893332987139,0.00276666753215245,0.00276666753215245,0.00276666753215245,0.00276666753215245
0.989089914795265,0.00272752130118374,0.00272752130118374,0.00272752130118374,0.00272752130118374
0.989239697497755,0.0026900756255613,0.0026900756255613,0.0026900756255613,0.0026900756255613
0.989383151979215,0.00265421200519626,0.00265421200519626,0.00265421200519626,0.00265421200519626
0.989520707255706,0.00261982318607358,0.00261982318607358,0.00261982318607358,0.00261982318607358
0.98965275270364,0.0025868118240901,0.0025868118240901,0.0025868118240901,0.0025868118240901
0.989779642648135,0.00255508933796636,0.00255508933796636,0.00255508933796636,0.00255508933796636
0.989901700318398,0.00252457492040048,0.00252457492040048,0.00252457492040048,0.00252457492040048
0.990019221270832,0.002495194682292,0.002495194682292,0.002495194682292,0.002495194682292
