"V1","V2","V3"
0.333333333333333,0.333333333333333,0.333333333333333
0.992977128745888,0.00351143562705605,0.00351143562705605
0.994971450004518,0.00251427499774117,0.00251427499774117
0.995846169279372,0.00207691536031386,0.00207691536031386
0.996361045986036,0.00181947700698202,0.00181947700698202
0.996707298374946,0.00164635081252722,0.00164635081252722
0.996958671147144,0.00152066442642794,0.00152066442642794
0.99715040536173,0.00142479731913496,0.00142479731913496
0.997301727981437,0.00134913600928138,0.00134913600928138
0.997424125508988,0.00128793724550577,0.00128793724550577
0.997524929723353,0.0012375351383233,0.0012375351383233
0.997609061944127,0.00119546902793667,0.00119546902793667
0.997679958022071,0.00116002098896437,0.00116002098896437
0.997740092946531,0.00112995352673424,0.00112995352673424
0.997791294815227,0.00110435259238664,0.00110435259238664
0.997834941180807,0.00108252940959664,0.00108252940959664
0.997872086386663,0.0010639568066686,0.0010639568066686
0.997903546682033,0.00104822665898354,0.00104822665898354
0.9979299585526,0.00103502072370005,0.00103502072370005
0.997951819502561,0.00102409024871937,0.00102409024871937
0.997969516993256,0.00101524150337185,0.00101524150337185
0.997983349156512,0.00100832542174398,0.00100832542174398
0.997993539624591,0.00100323018770442,0.00100323018770442
0.998000248011794,0.00099987599410284,0.00099987599410284
0.998003577054374,0.000998211472812708,0.000998211472812708
0.998003577054374,0.000998211472812708,0.000998211472812708
0.998000248011794,0.00099987599410284,0.00099987599410284
0.997993539624591,0.00100323018770442,0.00100323018770442
0.997983349156512,0.00100832542174398,0.00100832542174398
0.997969516993256,0.00101524150337185,0.00101524150337185
0.997951819502561,0.00102409024871937,0.00102409024871937
0.9979299585526,0.00103502072370005,0.00103502072370005
0.997903546682033,0.00104822665898354,0.00104822665898354
0.997872086386663,0.0010639568066686,0.0010639568066686
0.764601475614023,0.234569024886797,0.000829499499179384
0.694879466315487,0.304351443050019,0.000769090634493717
0.647604009927892,0.351662570176367,0.000733419895740796
0.610546361031112,0.388743745392459,0.000709893576429083
0.579147923473124,0.420158063780282,0.000694012746593047
0.551088447093513,0.448227869424219,0.000683683482267841
0.524937861434041,0.474384305529815,0.000677833036144018
0.499662032050584,0.499662032050584,0.000675935898832309
0.474384305529815,0.524937861434041,0.000677833036144018
0.44822786942422,0.551088447093513,0.000683683482267841
0.420158063780283,0.579147923473124,0.000694012746593047
0.388743745392459,0.610546361031112,0.000709893576429083
0.351662570176367,0.647604009927892,0.000733419895740796
0.304351443050019,0.694879466315487,0.000769090634493717
0.234569024886797,0.764601475614023,0.000829499499179384
0.0010639568066686,0.997872086386663,0.0010639568066686
0.00104822665898354,0.997903546682033,0.00104822665898354
0.00103502072370005,0.9979299585526,0.00103502072370005
0.00102409024871937,0.997951819502561,0.00102409024871937
0.00101524150337185,0.997969516993256,0.00101524150337185
0.00100832542174398,0.997983349156512,0.00100832542174398
0.00100323018770442,0.997993539624591,0.00100323018770442
0.00099987599410284,0.998000248011794,0.00099987599410284
0.000998211472812708,0.998003577054374,0.000998211472812708
0.000998211472812708,0.998003577054374,0.000998211472812708
0.00099987599410284,0.998000248011794,0.00099987599410284
0.00100323018770442,0.997993539624591,0.00100323018770442
0.00100832542174398,0.997983349156512,0.00100832542174398
0.00101524150337185,0.997969516993256,0.00101524150337185
0.00102409024871937,0.997951819502561,0.00102409024871937
0.00103502072370005,0.9979299585526,0.00103502072370005
0.00104822665898354,0.997903546682033,0.00104822665898354
0.0010639568066686,0.997872086386663,0.0010639568066686
0.000829499499179384,0.764601475614023,0.234569024886797
0.000769090634493717,0.694879466315487,0.304351443050019
0.000733419895740796,0.647604009927892,0.351662570176367
0.000709893576429083,0.610546361031112,0.388743745392459
0.000694012746593047,0.579147923473124,0.420158063780282
0.000683683482267841,0.551088447093513,0.448227869424219
0.000677833036144018,0.524937861434041,0.474384305529815
0.000675935898832309,0.499662032050584,0.499662032050584
0.000677833036144018,0.474384305529815,0.524937861434041
0.000683683482267841,0.44822786942422,0.551088447093513
0.000694012746593047,0.420158063780283,0.579147923473124
0.000709893576429083,0.388743745392459,0.610546361031112
0.000733419895740796,0.351662570176367,0.647604009927892
0.000769090634493717,0.304351443050019,0.694879466315487
0.000829499499179384,0.234569024886797,0.764601475614023
0.0010639568066686,0.0010639568066686,0.997872086386663
0.00104822665898354,0.00104822665898354,0.997903546682033
0.00103502072370005,0.00103502072370005,0.9979299585526
0.00102409024871937,0.00102409024871937,0.997951819502561
0.00101524150337185,0.00101524150337185,0.997969516993256
0.00100832542174398,0.00100832542174398,0.997983349156512
0.00100323018770442,0.00100323018770442,0.997993539624591
0.00099987599410284,0.00099987599410284,0.998000248011794
0.000998211472812708,0.000998211472812708,0.998003577054374
0.000998211472812708,0.000998211472812708,0.998003577054374
0.00099987599410284,0.00099987599410284,0.998000248011794
0.00100323018770442,0.00100323018770442,0.997993539624591
0.00100832542174398,0.00100832542174398,0.997983349156512
0.00101524150337185,0.00101524150337185,0.997969516993256
0.00102409024871937,0.00102409024871937,0.997951819502561
0.00103502072370005,0.00103502072370005,0.9979299585526
0.00104822665898354,0.00104822665898354,0.997903546682033
0.0010639568066686,0.0010639568066686,0.997872086386663
